id_municipio,municipio,provincia_codigo,n_registros,n_especies,n_hex_con_registros,n_hex_5spp,mediana_registros_hex,n_especies_3hex,n_grupos_habitat_3hex,categoria
011805,LOS HIDALGOS,18,15,14,6,0,2.5,0,1,NO RECOMENDADO
012509,SABANA IGLESIA,25,17,14,10,0,1.5,0,2,NO RECOMENDADO
052106,YAGUATE,21,15,13,9,0,2,0,2,NO RECOMENDADO
060408,FUNDACIÓN,04,14,13,5,0,3,0,0,NO RECOMENDADO
030602,ARENOSO,06,13,11,6,0,1,0,0,NO RECOMENDADO
072204,JUAN DE HERRERA,22,6,6,4,0,1.5,0,1,NO RECOMENDADO
030606,LAS GUÁRANAS,06,5,5,5,0,1,0,0,NO RECOMENDADO
041502,CASTAÑUELAS,15,5,5,5,0,1,0,0,NO RECOMENDADO
030604,PIMENTEL,06,4,4,4,0,1,0,0,NO RECOMENDADO
092305,QUISQUEYA,23,3,3,2,0,1.5,0,0,NO RECOMENDADO
041504,LAS MATAS DE SANTA CRUZ,15,2,2,2,0,1,0,0,NO RECOMENDADO
050207,PUEBLO VIEJO,02,2,2,2,0,1,0,0,NO RECOMENDADO
010902,CAYETANO GERMOSÉN,09,1,1,1,0,1,0,0,NO RECOMENDADO
030607,EUGENIO MARÍA DE HOSTOS,06,1,1,1,0,1,0,0,NO RECOMENDADO
